+------+----------------------+------------------------+---------------+
| Rank |      Drug Name       |      Target Name       | Binding Score |
|  38  |      Tenofovir       | SARS-CoV2 3CL Protease |    3929.61    |
|  39  |       Descovy        | SARS-CoV2 3CL Protease |    3929.61    |
|  40  |      Simeprevir      | SARS-CoV2 3CL Protease |    3996.67    |
|  41  |     Chloroquine      | SARS-CoV2 3CL Protease |    4593.69    |
|  42  |      Entecavir       | SARS-CoV2 3CL Protease |    4660.25    |
|  43  |      Didanosine      | SARS-CoV2 3CL Protease |    4800.14    |
|  44  |     Telbivudine      | SARS-CoV2 3CL Protease |    5012.07    |
|  45  |     Ganciclovir      | SARS-CoV2 3CL Protease |    5234.85    |
|  46  |      Nelfinavir      | SARS-CoV2 3CL Protease |    5265.36    |
|  47  |      Ritonavir       | SARS-CoV2 3CL Protease |    5383.77    |
|  48  |     Raltegravir      | SARS-CoV2 3CL Protease |    5487.65    |
|  49  |      Saquinavir      | SARS-CoV2 3CL Protease |    5568.12    |
|  50  |      Edoxudine       | SARS-CoV2 3CL Protease |    5647.74    |
|  51  |      Indinavir       | SARS-CoV2 3CL Protease |    5853.76    |
|  52  |      Telaprevir      | SARS-CoV2 3CL Protease |    5931.30    |
|  53  |      Imiquimod       | SARS-CoV2 3CL Protease |    6188.59    |
|  54  |       Arbidol        | SARS-CoV2 3CL Protease |    6619.70    |
|  55  |     Elvitegravir     | SARS-CoV2 3CL Protease |    7166.99    |
|  56  |     Penciclovir      | SARS-CoV2 3CL Protease |    7174.72    |
|  57  |      Cobicistat      | SARS-CoV2 3CL Protease |    7259.94    |
|  58  |     Daclatasvir      | SARS-CoV2 3CL Protease |    7709.81    |
|  59  |      Maraviroc       | SARS-CoV2 3CL Protease |    7819.45    |
|  60  |     Famciclovir      | SARS-CoV2 3CL Protease |    7988.99    |
|  61  |      Pleconaril      | SARS-CoV2 3CL Protease |    8007.91    |
|  62  |      Aciclovir       | SARS-CoV2 3CL Protease |    8024.76    |
|  63  |      Lamivudine      | SARS-CoV2 3CL Protease |    8076.05    |
|  64  |     Valacyclovir     | SARS-CoV2 3CL Protease |    8116.08    |
|  65  |     Zalcitabine      | SARS-CoV2 3CL Protease |    8168.46    |
|  66  |      Pyrimidine      | SARS-CoV2 3CL Protease |    8241.23    |
|  67  |      Etravirine      | SARS-CoV2 3CL Protease |    8422.83    |
|  68  |    Emtricitabine     | SARS-CoV2 3CL Protease |    8458.32    |
|  69  |      Stavudine       | SARS-CoV2 3CL Protease |    8480.99    |
|  70  |    Valganciclovir    | SARS-CoV2 3CL Protease |    8568.55    |
|  71  |      Zidovudine      | SARS-CoV2 3CL Protease |    8649.96    |
|  72  |      Nevirapine      | SARS-CoV2 3CL Protease |    8762.25    |
|  73  |      Moroxydine      | SARS-CoV2 3CL Protease |    8999.92    |
|  74  |      Doravirine      | SARS-CoV2 3CL Protease |    9152.81    |
|  75  |     Nitazoxanide     | SARS-CoV2 3CL Protease |    9321.58    |
|  76  |       Loviride       | SARS-CoV2 3CL Protease |    9470.61    |
|  77  |     Tromantadine     | SARS-CoV2 3CL Protease |    9607.81    |
|  78  |     Rilpivirine      | SARS-CoV2 3CL Protease |    9964.36    |
|  79  |       Abacavir       | SARS-CoV2 3CL Protease |    10142.56   |
|  80  |     Trifluridine     | SARS-CoV2 3CL Protease |    12418.89   |
|  81  |     Rimantadine      | SARS-CoV2 3CL Protease |    35211.83   |
|  82  |      Amantadine      | SARS-CoV2 3CL Protease |    55840.49   |
+------+----------------------+------------------------+---------------+
